T,Estrés,Hábitos de salud,Ejercicio,Descanso sueño,Alimentación nutrición,Prevención,ARC,Red de apoyo social,Conducta Tipo A,Fuerza cognitiva,Valoración positiva,Valoración negativa,Minimización de la amenaza,Concentración en el problema,Bienestar psicológico
81,30,119,,,,53,0,,44,142,,24,24,,
80,29,,,25,,,,,,140,,,,,
79,,117,,,,,,,,139,,,,,
78,,,,,25,,7,72,,138,,23,23,,60
77,28,116,,,,52,,71,,136,,,,,
76,,115,,,,,,70,43,,25,,,20,
75,27,114,,24,,,,69,,135,,22,22,,
74,,,,,,,,68,,134,,,,,59
73,26,112,,,24,51,8,67,,,24,,,,
72,,111,,,,,,66,42,133,,21,21,19,58
71,,110,,23,,,,65,,132,23,,,,57
70,25,109,,,23,50,,,,131,,,,,56
69,,107,15,,,,9,64,41,129,,20,,18,
68,,106,,22,,49,,63,,128,22,,20,,55
67,24,,,,,,,,40,127,,19,,,
66,,104,,,22,,10,62,39,125,,,,17,54
65,23,,,,,48,,61,,124,21,,,,53
64,,103,14,21,,,,60,38,123,,18,19,,52
63,22,102,,,21,,11,,,122,,,,,51
62,,101,13,,,,,59,37,120,20,,,,50
61,,,,20,,47,,58,,119,,17,,16,
60,21,100,,,20,,12,,36,118,,,18,,49
59,,98,,,,46,,57,35,117,,,,,
58,20,,12,,,,,56,,116,19,16,,,48
57,,97,,19,19,,,,,115,,,17,,
56,19,96,,,,45,,55,34,114,,,,15,47
55,,95,11,,,,13,54,,113,18,15,,,
54,18,94,,,18,,,53,,111,,,,,46
53,,93,,18,,44,,52,33,110,,,16,,45
52,17,,10,,,,,,32,109,,,,,
51,,92,,,17,43,,51,31,108,17,14,,14,44
50,,91,,17,,,,50,,107,,,,,43
49,16,89,9,,,42,14,49,,105,,,15,,42
48,,88,,,16,,,48,30,104,,13,,,41
47,,87,,16,,41,,47,,103,16,,,13,
46,15,86,8,,15,,,,,102,,,,,40
45,,85,,,,,,46,29,100,,,14,,39
44,14,84,,15,,40,,45,28,99,,12,,,38
43,,83,7,,14,,,44,,97,15,,,,37
42,,82,,,,39,,43,27,96,,,,12,36
41,13,80,,14,,,,42,,94,,,13,,
40,,79,6,,13,38,,41,26,93,14,11,,,35
39,12,78,,,,,15,40,,91,,,,,33
38,,77,,13,12,37,,39,,90,,,12,11,
37,,76,,,,,,38,25,88,13,10,,,32
36,11,75,5,,,36,,37,24,87,,,,,31
35,,,,12,11,,,36,23,85,,,,,30
34,10,74,,,,35,,35,,84,,,11,10,
33,,71,4,11,,34,,34,,82,12,9,,,29
32,9,70,,,10,,,33,22,81,,,,,
31,,69,,,,33,,31,21,78,11,,10,,28
30,,68,,10,,32,,30,,77,,8,,9,27
29,8,67,,,9,,,,20,75,,,,,26
28,,66,3,,,31,,29,,74,10,,9,,25
27,7,62,,9,,30,,28,,73,,7,,,
26,,60,,,8,,,27,19,72,,,,8,24
25,,59,,8,,29,,26,18,70,9,,,,
24,6,58,,,,28,,25,17,69,,6,8,7,22
23,,57,,7,7,,,23,16,68,,,,,20
22,,56,,6,,27,,,15,67,8,,,,18
21,,,,,,,,22,14,65,,,7,6,17
20,,,,,6,,,,,64,,,,,16
19,0,0,0,0,0,0,,0,0,0,0,0,0,0,0