Puntuación estándar,17-19,20-29,30-39,40-49,50-59,60-69,70-79
128,40,,,,,,
126,,,40,,,,40
125,39,,,,,,
124,,,,,,,39
123,,,39,,40,,
122,38,,,40,,,38
121,,40,,,,,
120,37,,38,39,39,40,37
119,,39,,,,,
118,,,,38,38,39,36
117,36,38,37,,,,
116,,,,,,38,35
115,,,,37,37,,
114,35,37,36,,,37,34
113,,36,,36,,,
112,,,,,36,,33
111,34,,35,35,,36,
110,,35,,,35,,32
109,33,,,,,35,
108,,34,34,34,,,31
107,,,,,34,34,
106,32,33,,33,,,30
105,,,33,,33,33,
104,,32,,32,,,29
103,31,,,,,32,
102,,31,32,,32,,28
101,30,,,31,,31,
100,,30,,,,,27
99,,,31,30,31,30,
98,29,29,,,,,26
97,,,,29,30,29,
96,,,30,,,,25
95,28,28,,,,28,
94,,,,28,29,,24
93,27,27,29,,,,
92,,,,27,28,27,23
91,,26,,,,,
90,26,,28,26,,26,22
89,,25,,,27,,
88,,,,,,25,21
87,25,24,27,25,,,
86,,,,,26,24,20
85,24,23,,24,,,
84,,,26,,25,23,19
83,,22,,23,,,
82,23,,,,,22,18
81,,21,25,,24,,
80,,,,22,,21,17
79,22,20,,,23,,
78,,,24,21,,20,16
77,21,19,,,,,
76,,,,20,22,19,15
75,,,23,,,,
74,20,18,,,,,14
73,,,,19,21,18,
72,,17,22,,,,13
71,19,,,18,20,17,
70,,16,,,,,12
69,18,,21,17,,16,
68,,15,,,19,,11
67,,,,,,15,
66,17,14,20,16,,,10
65,,,,,18,14,
64,,13,,15,,,9
63,16,,19,,17,13,
62,,12,,14,,,8
61,15,,,,,12,
60,,11,18,,16,,7
59,,,,13,,11,
58,14,10,,,15,,6
57,,,17,12,,10,
56,,,,,,,5
55,13,9,,11,14,,
54,,,16,,,9,4
53,12,8,,,,,
52,,,,10,13,8,3
51,,7,15,,,,
50,11,,,9,12,7,2
49,,6,,,,,
48,,,14,8,,6,1
47,10,5,,,11,,
46,,,,,,5,0
45,9,4,13,7,10,,
44,,,,,,4,
43,,3,,6,,,
42,8,,12,,9,3,
41,,2,,5,,,
40,,,,,,2,
39,7,1,11,,8,,
38,,,,4,,1,
37,,0,,,7,,
36,6,,10,3,,,
35,,,,,,0,
34,5,,,2,6,,
33,,,9,,,,
32,,,,,5,,
31,4,,,1,,,
30,,,8,0,,,
29,,,,,4,,
28,3,,,,,,
27,,,7,,,,
26,2,,,,3,,
24,,,6,,2,,
23,1,,,,,,
20,0,,,,,,